ID,online-retailer,title,Galileo,Beidou,fast charging,thermal camera,operating system,notification diode,auto focus,number of ratings,memory card slot,in-display fingerprint reader,removable battery,colour,number of front camera lenses,5G,reverse wireless charging,face unlock,configuration cards,resolution total,resolution height,3.5mm jack,processor manufacturer,SIM card type,wide angle lens,Bokeh effect,hybrid zoom,without fingerprint reader,brand,macro mode,rear cam resolution,width,optical zoom,NFC,display size,GPS,warranty,display refresh rate,weight,Bluetooth,connector,resolution width,A-GPS,GLONASS,cutout shape,maximum memory card size,body fingerprint reader,rating,Wi-Fi,4G/LTE,flash diode,infrared,depth,volume,number of rear camera lenses,price,degree of protection,number of cores,battery type,charging power,length,front cam resolution,night mode,RAM,processor model,processor frequency,battery capacity,wireless charging,telephoto,FM-radio,internal memory,system superstructure
25,DatArt,Mobilní telefon Xiaomi Redmi Note 13 6 GB / 128 GB (52915) černý,True,True,True,False,Android 13.0,False,True,0,True,True,False,black,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,,True,True,True,True,0.8,98.496,3,4799,IP54,8,Li-Pol,33,16.2,16.0,True,6,Snapdragon 685,2.8,5000,False,False,False,128,MIUI
26,DatArt,Mobilní telefon Xiaomi Redmi Note 13 8 GB / 256 GB (52924) modrý,True,True,True,False,Android 13.0,False,True,0,True,True,False,blue,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,,True,True,True,True,0.8,98.496,3,5599,IP54,8,Li-Pol,33,16.2,16.0,True,8,Snapdragon 685,2.8,5000,False,False,False,256,MIUI
27,DatArt,Mobilní telefon Infinix Note 30 PRO 8 GB / 256 GB (X678BVG) zlatý,False,False,True,False,Android 13.0,False,True,59,True,False,False,gold,1,False,False,False,Dual SIM + Memory Card (2x SIM + Memory Card),2592000,1080,True,MediaTek,nano SIM,False,False,False,False,Infinix,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,False,bullet hole,2,True,4.8,True,True,True,False,0.8,99.104,3,4889,IP53,8,Li-Pol,68,16.3,32.0,False,8,Helio G99,2.2,5000,True,False,True,256,XOS
28,DatArt,Mobilní telefon Apple iPhone 15 Pro 256GB Blue Titanium (MTV63SX/A),True,True,True,False,iOs 17,False,True,13,False,False,False,blue,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.9,True,True,True,False,0.8,83.496,3,31490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
29,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro 8 GB / 256 GB (53453) fialový,True,True,True,False,Android 13.0,False,True,1,True,True,False,purple,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.5,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,5.0,True,True,True,True,0.8,96.60000000000001,3,6999,IP54,8,Li-Pol,67,16.1,16.0,True,8,Helio G99 Ultra,2.2,5000,False,False,False,256,MIUI
30,DatArt,Mobilní telefon Xiaomi Redmi Note 13 8 GB / 256 GB (53406) zelený,True,True,True,False,Android 13.0,False,True,0,True,True,False,green,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,,True,True,True,True,0.8,98.496,3,5599,IP54,8,Li-Pol,33,16.2,16.0,True,8,Snapdragon 685,2.8,5000,False,False,False,256,MIUI
31,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro+ 5G 8 GB / 256 GB (50784) bílý,True,True,True,False,Android 13.0,False,True,3,False,True,False,white,1,True,False,True,Dual SIM (2x SIM),3308640,1220,False,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.4,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,5.0,True,True,True,True,0.9,107.22600000000001,3,10999,IP68,8,Li-Pol,120,16.1,16.0,True,8,Dimensity 7200 Ultra,2.8,5000,False,False,False,256,MIUI
32,DatArt,Mobilní telefon Motorola Moto G84 5G 12 GB /  256 GB - Midnight Blue (PAYM0008PL),True,False,True,False,Android 13.0,False,True,13,True,True,False,blue,1,True,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2397600,2220,True,Qualcomm,nano SIM,True,False,False,False,Motorola,True,50.0,7.4,False,True,6.55,True,24,120,200.0,True,USB-C,1080,True,True,bullet hole,1,False,4.9,True,True,True,False,0.8,94.72000000000001,2,6489,IP54,8,other,30,16.0,16.0,True,12,Snapdragon 695,2.2,5000,False,False,True,256,pure Android
33,DatArt,Mobilní telefon Samsung Galaxy S23 FE 5G 8 GB / 128 GB (SM-S711BZPDEUE) fialový,True,True,True,False,Android 13.0,False,True,0,False,True,False,purple,1,True,True,False,"Dual SIM (2x SIM), or Single SIM + eSIM",2527200,1080,False,Samsung,nano SIM  + eSIM,True,True,False,False,Samsung,False,50.0,7.7,True,True,6.4,True,24,120,200.0,True,USB-C,2340,False,True,bullet hole,,False,,True,True,True,False,0.8,97.328,3,16649,IP68,8,Li-Pol,25,15.8,10.0,True,8,Exynos 2200,2.8,4500,True,True,False,128,Samsung One UI
34,DatArt,Mobilní telefon Xiaomi Redmi Note 13 6 GB / 128 GB (52936) modrý,True,True,True,False,Android 13.0,False,True,0,True,True,False,blue,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,,True,True,True,True,0.8,98.496,3,4799,IP54,8,Li-Pol,33,16.2,16.0,True,6,Snapdragon 685,2.8,5000,False,False,False,128,MIUI
